Vehicle Make,n,Fatal Injury,Suspected Serious Injury,Suspected Minor Injury,Possible Injury,No Apparent Injury
VOLKSWAGGON,6,0.0,16.67,0.0,33.33,50.0
VOLSWAGEN,6,0.0,0.0,0.0,0.0,100.0
WORK,6,0.0,0.0,0.0,0.0,100.0
X,6,0.0,0.0,0.0,16.67,83.33
ZNEN,6,0.0,33.33,50.0,16.67,0.0
BLUE,5,0.0,0.0,0.0,0.0,100.0
CATERPILLAR,5,0.0,0.0,0.0,0.0,100.0
CHEVOLET,5,0.0,0.0,20.0,0.0,80.0
FERRARI,5,0.0,0.0,0.0,20.0,80.0
FR,5,0.0,0.0,0.0,0.0,100.0
FRE,5,0.0,0.0,0.0,0.0,100.0
FREIGHTLINE,5,0.0,0.0,0.0,0.0,100.0
GILL BUS,5,0.0,0.0,0.0,0.0,100.0
GILLY,5,0.0,0.0,0.0,0.0,100.0
HUNDAY,5,0.0,0.0,20.0,20.0,60.0
HYN,5,0.0,0.0,20.0,20.0,60.0
HYUNDAU,5,0.0,0.0,20.0,0.0,80.0
INFINIT,5,0.0,0.0,20.0,0.0,80.0
KAWA,5,0.0,40.0,40.0,0.0,20.0
KUBOTA,5,0.0,0.0,0.0,0.0,100.0
MAZA,5,0.0,0.0,20.0,20.0,60.0
MERZ BENZ,5,0.0,0.0,0.0,20.0,80.0
MERZEDES,5,0.0,0.0,0.0,20.0,80.0
MINICOOPER,5,0.0,0.0,0.0,0.0,100.0
MISSAN,5,0.0,0.0,0.0,0.0,100.0
MISTUBISHI,5,0.0,0.0,20.0,0.0,80.0
MORGAN,5,0.0,0.0,0.0,0.0,100.0
PTR,5,0.0,0.0,0.0,0.0,100.0
STAR,5,0.0,0.0,0.0,0.0,100.0
SUSUKI,5,0.0,20.0,40.0,20.0,20.0
TAO TAO,5,20.0,20.0,0.0,20.0,40.0
TAOTAO,5,0.0,40.0,20.0,20.0,20.0
THML,5,0.0,0.0,0.0,0.0,100.0
THOMS,5,0.0,0.0,0.0,0.0,100.0
TOY0TA,5,0.0,0.0,0.0,20.0,80.0
VANHOOL,5,0.0,0.0,0.0,0.0,100.0
VOLV0,5,0.0,0.0,0.0,0.0,100.0
WHITE,5,0.0,0.0,0.0,0.0,100.0
WMATA,5,0.0,0.0,0.0,20.0,80.0
WSTR,5,0.0,0.0,0.0,0.0,100.0
0000,4,0.0,0.0,25.0,0.0,75.0
CAMRY,4,0.0,0.0,0.0,25.0,75.0
CAT,4,0.0,0.0,0.0,0.0,100.0
CCC,4,0.0,0.0,0.0,0.0,100.0
CERVELO,4,0.0,25.0,50.0,25.0,0.0
CHERVOLET,4,0.0,0.0,0.0,50.0,50.0
CHEVROET,4,0.0,0.0,0.0,25.0,75.0
CHEVYROLET,4,0.0,0.0,25.0,0.0,75.0
CHVY,4,0.0,0.0,0.0,50.0,50.0
CHYR,4,0.0,0.0,0.0,0.0,100.0
COOPER,4,0.0,0.0,50.0,0.0,50.0
CRNE,4,0.0,0.0,0.0,25.0,75.0
DOGE,4,0.0,0.0,0.0,0.0,100.0
ELDO,4,0.0,0.0,0.0,25.0,75.0
EONE,4,0.0,0.0,0.0,0.0,100.0
FCA,4,0.0,0.0,25.0,0.0,75.0
FOR,4,0.0,0.0,0.0,0.0,100.0
FRG,4,0.0,0.0,0.0,0.0,100.0
FRHT AM,4,0.0,0.0,0.0,0.0,100.0
GIILIG,4,0.0,0.0,0.0,25.0,75.0
GILG BU,4,0.0,0.0,0.0,0.0,100.0
GILLIGAN,4,0.0,0.0,0.0,0.0,100.0
HONDA`,4,0.0,0.0,0.0,50.0,50.0
HYAUNDAI,4,0.0,0.0,25.0,0.0,75.0
IC CORP,4,0.0,0.0,0.0,0.0,100.0
ICRP,4,0.0,0.0,0.0,0.0,100.0
INDIAN MOTORCYCLE,4,25.0,25.0,0.0,25.0,25.0
INF,4,0.0,25.0,0.0,25.0,50.0
INFINI,4,0.0,0.0,0.0,50.0,50.0
INIFINITI,4,0.0,0.0,0.0,25.0,75.0
INTERNATION,4,0.0,25.0,0.0,0.0,75.0
JIAJUE,4,0.0,0.0,25.0,50.0,25.0
K & W LOAD STAR,4,0.0,0.0,0.0,0.0,100.0
KENWOOD,4,0.0,0.0,0.0,0.0,100.0
LAND,4,0.0,0.0,0.0,25.0,75.0
LEXAS,4,0.0,0.0,0.0,0.0,100.0
MADZ,4,0.0,0.0,0.0,0.0,100.0
MAIL TRUCK,4,0.0,0.0,0.0,0.0,100.0
MB,4,0.0,0.0,0.0,75.0,25.0
MER,4,0.0,0.0,0.0,0.0,100.0
METRO BUS,4,0.0,0.0,0.0,0.0,100.0
MIT,4,0.0,0.0,0.0,0.0,100.0
MITSHUBISHI,4,0.0,0.0,0.0,0.0,100.0
MITSIBISHI,4,0.0,0.0,0.0,0.0,100.0
MITSUBSHI,4,0.0,0.0,25.0,0.0,75.0
NAVISTAR,4,0.0,0.0,0.0,0.0,100.0
NISSSAN,4,0.0,0.0,25.0,0.0,75.0
PACE,4,0.0,0.0,0.0,0.0,100.0
PENSKE,4,0.0,0.0,0.0,0.0,100.0
PI,4,0.0,0.0,0.0,0.0,100.0
