Vehicle Make,n,Fatal Injury,Suspected Serious Injury,Suspected Minor Injury,Possible Injury,No Apparent Injury
CHEVVAL1995,1,0.0,0.0,0.0,0.0,100.0
CHEVVAL2010,1,0.0,0.0,0.0,0.0,100.0
CHEVVAL2014,1,0.0,0.0,0.0,0.0,100.0
CHEVY ?,1,0.0,0.0,0.0,0.0,100.0
CHEVY4DR,1,0.0,0.0,0.0,0.0,100.0
CHEYV,1,0.0,0.0,0.0,0.0,100.0
CHHRY,1,0.0,0.0,0.0,0.0,100.0
CHREVROLET,1,0.0,0.0,0.0,0.0,100.0
CHRIMSON,1,0.0,0.0,0.0,0.0,100.0
CHRISLER,1,0.0,0.0,0.0,0.0,100.0
CHRLSLER,1,0.0,0.0,0.0,0.0,100.0
CHRV,1,0.0,0.0,0.0,0.0,100.0
CHRVY,1,0.0,0.0,0.0,0.0,100.0
CHRYESLER,1,0.0,0.0,0.0,0.0,100.0
CHRYLS,1,0.0,0.0,0.0,0.0,100.0
CHRYLSLER,1,0.0,0.0,0.0,0.0,100.0
CHRYSELER,1,0.0,0.0,0.0,100.0,0.0
CHRYSER,1,0.0,0.0,0.0,0.0,100.0
CHRYSLE,1,0.0,0.0,0.0,0.0,100.0
CHRYSLERER,1,0.0,0.0,0.0,0.0,100.0
CHRYSLR,1,0.0,0.0,0.0,0.0,100.0
CHRYST,1,0.0,0.0,0.0,0.0,100.0
CHRYVAL2008,1,0.0,0.0,0.0,0.0,100.0
CHTY,1,0.0,0.0,100.0,0.0,0.0
CHTYS,1,0.0,0.0,100.0,0.0,0.0
CHYSTLER,1,0.0,0.0,0.0,100.0,0.0
CILL,1,0.0,0.0,0.0,0.0,100.0
CITY,1,0.0,0.0,0.0,0.0,100.0
CLEAR,1,0.0,0.0,0.0,100.0,0.0
CLUB CAR,1,0.0,0.0,0.0,0.0,100.0
CNG TRANSIT,1,0.0,0.0,0.0,0.0,100.0
COBRA,1,0.0,100.0,0.0,0.0,0.0
COLEMAN,1,0.0,0.0,100.0,0.0,0.0
COLKSWAGEN,1,0.0,0.0,0.0,0.0,100.0
COLVO,1,0.0,0.0,0.0,0.0,100.0
COMMERCIAL,1,0.0,0.0,0.0,0.0,100.0
CORV,1,0.0,0.0,0.0,0.0,100.0
CORVETTE,1,0.0,0.0,0.0,0.0,100.0
COX,1,0.0,0.0,100.0,0.0,0.0
CRAINE CARRIER,1,0.0,0.0,0.0,0.0,100.0
CRANE CARRIER CORP,1,0.0,0.0,0.0,0.0,100.0
CRIMSON FIRE,1,0.0,0.0,0.0,0.0,100.0
CROWN,1,0.0,0.0,0.0,0.0,100.0
CRV,1,0.0,0.0,0.0,0.0,100.0
CUB CADET,1,0.0,0.0,0.0,0.0,100.0
CURA,1,0.0,0.0,0.0,0.0,100.0
CVEVROLET,1,0.0,0.0,0.0,0.0,100.0
CXN612,1,0.0,0.0,0.0,0.0,100.0
CYRYSLER,1,0.0,0.0,0.0,0.0,100.0
DADGE,1,0.0,0.0,0.0,0.0,100.0
DAEWOOD,1,0.0,0.0,0.0,0.0,100.0
DAIM,1,0.0,0.0,0.0,0.0,100.0
DAIMERLER,1,0.0,0.0,0.0,0.0,100.0
DAODGE,1,0.0,0.0,0.0,0.0,100.0
DATS,1,0.0,0.0,0.0,0.0,100.0
DATSUN,1,0.0,0.0,0.0,0.0,100.0
DC METRO,1,0.0,0.0,0.0,0.0,100.0
DE4,1,0.0,0.0,0.0,0.0,100.0
DIAMOND,1,0.0,0.0,0.0,0.0,100.0
DIAT,1,0.0,0.0,0.0,0.0,100.0
DIESEL TRACTOR,1,0.0,0.0,0.0,0.0,100.0
DIESEL URBAN TRANSIT,1,0.0,0.0,0.0,0.0,100.0
DOAGE,1,0.0,0.0,0.0,0.0,100.0
DODE,1,0.0,0.0,0.0,0.0,100.0
DODG3,1,0.0,0.0,0.0,0.0,100.0
DODGDE,1,0.0,0.0,0.0,0.0,100.0
DODGE SUV,1,0.0,0.0,0.0,0.0,100.0
DODGEQ,1,0.0,0.0,100.0,0.0,0.0
DODGGE,1,0.0,0.0,0.0,0.0,100.0
DODGVAL2013,1,0.0,0.0,0.0,0.0,100.0
DODOGE,1,0.0,0.0,0.0,0.0,100.0
DOGDGE,1,0.0,0.0,0.0,0.0,100.0
DOIDGE,1,0.0,0.0,0.0,0.0,100.0
DONG FANG,1,0.0,0.0,100.0,0.0,0.0
DONGGUAN TAILING ELE,1,0.0,0.0,0.0,0.0,100.0
DOOSAN,1,0.0,0.0,0.0,0.0,100.0
DORSEY,1,0.0,0.0,0.0,0.0,100.0
DUBARU,1,0.0,0.0,0.0,0.0,100.0
DUMP,1,0.0,0.0,0.0,0.0,100.0
DUMP TRUCK,1,0.0,0.0,0.0,0.0,100.0
DUMPTRUCK,1,0.0,0.0,0.0,0.0,100.0
E,1,0.0,0.0,0.0,0.0,100.0
E ONE,1,0.0,0.0,0.0,0.0,100.0
E Z RYDER MOTOR,1,0.0,0.0,100.0,0.0,0.0
E250,1,0.0,0.0,100.0,0.0,0.0
EADG,1,0.0,0.0,0.0,0.0,100.0
EAHORA,1,0.0,0.0,100.0,0.0,0.0
EBIKEWHOLESALE,1,0.0,0.0,0.0,0.0,100.0
ED4,1,0.0,0.0,0.0,0.0,100.0
EDGE,1,0.0,0.0,0.0,100.0,0.0
ELDO BUS,1,0.0,0.0,0.0,0.0,100.0
EMER,1,0.0,0.0,0.0,0.0,100.0
EMERGENCY,1,0.0,0.0,0.0,0.0,100.0
EMERGENCY ONE,1,0.0,0.0,0.0,0.0,100.0
EMR,1,0.0,0.0,0.0,0.0,100.0
ENGINE CONNECTION,1,0.0,0.0,0.0,100.0,0.0
EPD,1,0.0,0.0,0.0,0.0,100.0
ERIE,1,0.0,0.0,0.0,0.0,100.0
ES350,1,0.0,0.0,0.0,0.0,100.0
ESCALADE,1,0.0,0.0,0.0,0.0,100.0
EXCAVATOR,1,0.0,0.0,0.0,0.0,100.0
EXPLORER,1,0.0,0.0,0.0,100.0,0.0
EZ GO,1,0.0,100.0,0.0,0.0,0.0
EZIP,1,0.0,0.0,100.0,0.0,0.0
F0RD,1,0.0,0.0,0.0,0.0,100.0
F150,1,0.0,0.0,0.0,0.0,100.0
F250,1,0.0,0.0,0.0,0.0,100.0
F550,1,0.0,0.0,0.0,0.0,100.0
FALCON,1,0.0,0.0,0.0,100.0,0.0
FARMALL,1,0.0,100.0,0.0,0.0,0.0
FBU,1,0.0,0.0,0.0,0.0,100.0
FCA US,1,0.0,0.0,0.0,0.0,100.0
FEIGHT,1,0.0,0.0,0.0,0.0,100.0
FERR,1,0.0,0.0,0.0,0.0,100.0
FGHT,1,0.0,0.0,0.0,0.0,100.0
FHRT,1,0.0,0.0,0.0,0.0,100.0
FIRETRUCK,1,0.0,0.0,0.0,0.0,100.0
FISKER,1,0.0,0.0,0.0,0.0,100.0
FLT,1,0.0,0.0,0.0,0.0,100.0
FLUID,1,0.0,100.0,0.0,0.0,0.0
FM,1,0.0,0.0,0.0,0.0,100.0
FO,1,0.0,0.0,0.0,0.0,100.0
FOCUS,1,0.0,0.0,0.0,0.0,100.0
FONTAINE,1,0.0,0.0,0.0,0.0,100.0
FOOD,1,0.0,0.0,0.0,0.0,100.0
FOORD,1,0.0,0.0,0.0,0.0,100.0
FORD BUS,1,0.0,0.0,0.0,0.0,100.0
FORD MOTOR,1,0.0,0.0,0.0,0.0,100.0
FORD TK,1,0.0,0.0,0.0,0.0,100.0
FORD UTILIMASTER,1,0.0,0.0,0.0,100.0,0.0
FORD/GOSHEN,1,0.0,0.0,0.0,0.0,100.0
FORD/UTILIMASTER,1,0.0,0.0,0.0,0.0,100.0
FORDBE,1,0.0,0.0,0.0,0.0,100.0
FORDD,1,0.0,0.0,0.0,0.0,100.0
FORDE,1,0.0,0.0,0.0,0.0,100.0
FORDQ,1,0.0,0.0,0.0,0.0,100.0
FORDVAL2007,1,0.0,0.0,0.0,0.0,100.0
FORDVAL2012,1,0.0,0.0,0.0,0.0,100.0
FORDVAL2014,1,0.0,0.0,0.0,0.0,100.0
FORD`,1,0.0,0.0,0.0,0.0,100.0
FORESTER,1,0.0,0.0,0.0,0.0,100.0
FORN,1,0.0,0.0,0.0,0.0,100.0
FORTE,1,0.0,0.0,0.0,0.0,100.0
FPRD,1,0.0,0.0,0.0,0.0,100.0
FRACO PRODUCTS LTD,1,0.0,0.0,0.0,0.0,100.0
FRAIGHT,1,0.0,0.0,0.0,0.0,100.0
FRD,1,0.0,0.0,0.0,0.0,100.0
FREDI,1,0.0,0.0,0.0,0.0,100.0
FREGHT,1,0.0,0.0,0.0,0.0,100.0
FREI TK,1,0.0,0.0,0.0,0.0,100.0
FREIG,1,0.0,0.0,0.0,0.0,100.0
FREIGHLINE,1,0.0,0.0,0.0,100.0,0.0
FREIGHLINER CORP,1,0.0,0.0,0.0,0.0,100.0
FREIGHT BUS,1,0.0,0.0,0.0,0.0,100.0
FREIGHT DS,1,0.0,0.0,0.0,0.0,100.0
FREIGHT LINNER,1,0.0,0.0,0.0,0.0,100.0
FREIGHT LNR,1,0.0,0.0,0.0,0.0,100.0
FREIGHT TRK,1,0.0,0.0,0.0,0.0,100.0
FREIGHTLINER BUS,1,0.0,0.0,0.0,0.0,100.0
FREIGHTLINER M2,1,0.0,0.0,0.0,0.0,100.0
FREIGHTLINERS,1,0.0,0.0,0.0,0.0,100.0
FREIGHTLINGER,1,0.0,0.0,0.0,0.0,100.0
FREIGHTLINR,1,0.0,0.0,0.0,0.0,100.0
FREIGHTLNER,1,0.0,0.0,0.0,0.0,100.0
FREIGTHLINER,1,0.0,0.0,0.0,0.0,100.0
FREITLINER,1,0.0,0.0,0.0,0.0,100.0
FRET,1,0.0,0.0,0.0,0.0,100.0
FRGH,1,0.0,0.0,0.0,0.0,100.0
FRGT,1,0.0,0.0,0.0,0.0,100.0
FRHT (CHASSIS/THOMAS,1,0.0,0.0,0.0,0.0,100.0
FRHT LNR,1,0.0,0.0,0.0,0.0,100.0
FRHT-THOMAS,1,0.0,0.0,0.0,0.0,100.0
FRIEGHTLINERQQ,1,0.0,0.0,0.0,0.0,100.0
FRIEIGHTLINER,1,0.0,0.0,0.0,0.0,100.0
FRIESEN TRAILERS,1,0.0,0.0,0.0,0.0,100.0
FRIESEN WELDING,1,0.0,0.0,0.0,0.0,100.0
FRIG,1,0.0,0.0,0.0,0.0,100.0
FRIGHTLINE,1,0.0,0.0,0.0,0.0,100.0
FRISKER,1,0.0,0.0,100.0,0.0,0.0
FRLI,1,0.0,0.0,0.0,0.0,100.0
FRONTLINER,1,0.0,0.0,0.0,0.0,100.0
FRT LINER,1,0.0,0.0,0.0,0.0,100.0
FRT TRUCK,1,0.0,0.0,0.0,0.0,100.0
FRUETEL,1,0.0,0.0,0.0,0.0,100.0
GARMIN,1,0.0,0.0,0.0,0.0,100.0
GATO,1,0.0,100.0,0.0,0.0,0.0
GATOR,1,0.0,0.0,0.0,100.0,0.0
GEN,1,0.0,0.0,0.0,0.0,100.0
GENERAL MOTORS CORPO,1,0.0,0.0,0.0,0.0,100.0
GENIE,1,0.0,0.0,0.0,0.0,100.0
GENRAL MOTORS,1,0.0,0.0,0.0,0.0,100.0
GENSIS,1,0.0,0.0,0.0,0.0,100.0
GENUINE,1,0.0,0.0,100.0,0.0,0.0
GENUINE SCOOTER COMP,1,0.0,0.0,100.0,0.0,0.0
GENUINE SCOOTERS,1,0.0,0.0,100.0,0.0,0.0
GGILLIG,1,0.0,0.0,0.0,0.0,100.0
GIILIAM,1,0.0,0.0,100.0,0.0,0.0
GILDEN,1,0.0,0.0,0.0,0.0,100.0
GILG BUS,1,0.0,0.0,0.0,0.0,100.0
GILGIN,1,0.0,0.0,0.0,0.0,100.0
GILILG,1,0.0,0.0,0.0,0.0,100.0
GILIQBUS,1,0.0,0.0,0.0,0.0,100.0
GILL BLU,1,0.0,0.0,0.0,0.0,100.0
GILL HWY,1,0.0,0.0,0.0,0.0,100.0
GILL HY,1,0.0,0.0,0.0,0.0,100.0
GILL.,1,0.0,0.0,0.0,0.0,100.0
GILLAM,1,0.0,0.0,0.0,0.0,100.0
GILLAN,1,0.0,0.0,0.0,0.0,100.0
GILLET,1,0.0,0.0,0.0,0.0,100.0
GILLIB,1,0.0,0.0,0.0,0.0,100.0
GILLID,1,0.0,0.0,0.0,0.0,100.0
GILLILAND,1,0.0,0.0,0.0,0.0,100.0
GILLILG,1,0.0,0.0,0.0,0.0,100.0
GILLIM,1,0.0,0.0,0.0,0.0,100.0
GILLING,1,0.0,0.0,0.0,0.0,100.0
GILLIO,1,0.0,0.0,0.0,0.0,100.0
GILLIT,1,0.0,0.0,0.0,0.0,100.0
GILLLIG,1,0.0,0.0,0.0,0.0,100.0
GILLLIG BU,1,0.0,0.0,0.0,0.0,100.0
GILLMAN,1,0.0,0.0,0.0,0.0,100.0
GILLS,1,0.0,0.0,0.0,0.0,100.0
GIUIG,1,0.0,0.0,0.0,0.0,100.0
GLAVAL,1,0.0,0.0,0.0,0.0,100.0
GLLIG,1,0.0,0.0,0.0,0.0,100.0
GMC/CHEVY,1,0.0,0.0,0.0,0.0,100.0
GMV,1,0.0,0.0,0.0,0.0,100.0
GOLF,1,0.0,0.0,0.0,0.0,100.0
GOLF STREAM,1,0.0,0.0,0.0,0.0,100.0
GOSHEN,1,0.0,0.0,0.0,0.0,100.0
GR,1,0.0,0.0,0.0,0.0,100.0
GRAND,1,0.0,0.0,0.0,100.0,0.0
GREAT DANE,1,0.0,0.0,0.0,0.0,100.0
GREEN,1,0.0,0.0,0.0,100.0,0.0
GREEN POWER,1,0.0,0.0,100.0,0.0,0.0
GREIGHTLINER,1,0.0,0.0,0.0,0.0,100.0
GRHT,1,0.0,0.0,0.0,0.0,100.0
GRIFFITH CHOPPERS,1,0.0,0.0,0.0,0.0,100.0
GRILL,1,0.0,0.0,0.0,0.0,100.0
GRUMIN,1,0.0,0.0,100.0,0.0,0.0
GRUMMAN LLV,1,0.0,0.0,0.0,0.0,100.0
GRUMMAN OLSEN,1,0.0,0.0,0.0,0.0,100.0
GRUMMAN/GMC,1,0.0,0.0,0.0,0.0,100.0
GRUMMLV,1,0.0,0.0,0.0,0.0,100.0
GRUMMON OLSEN,1,0.0,0.0,0.0,0.0,100.0
GRUMMUN,1,0.0,0.0,0.0,0.0,100.0
GRUNM,1,0.0,0.0,0.0,0.0,100.0
GUILLIG,1,0.0,0.0,0.0,0.0,100.0
GULLIG,1,0.0,0.0,0.0,0.0,100.0
GWG,1,0.0,0.0,0.0,0.0,100.0
H&H,1,0.0,0.0,0.0,0.0,100.0
H3,1,0.0,0.0,0.0,0.0,100.0
HANDA,1,0.0,0.0,100.0,0.0,0.0
HAR DAVIDSON,1,0.0,0.0,0.0,0.0,100.0
HARDLEY DAVIDSON,1,0.0,0.0,100.0,0.0,0.0
HARL D,1,0.0,100.0,0.0,0.0,0.0
HARLE DAVIDSON,1,0.0,0.0,100.0,0.0,0.0
HARLEY DA,1,0.0,0.0,100.0,0.0,0.0
HARLEY DAVIDIOSN,1,0.0,0.0,100.0,0.0,0.0
HARLEY DAVINSON,1,0.0,0.0,0.0,100.0,0.0
HARLEY-DAVIDS,1,0.0,0.0,100.0,0.0,0.0
HARLEYDAVIDSON,1,0.0,0.0,100.0,0.0,0.0
HARLY DAVIDSON,1,0.0,0.0,0.0,0.0,100.0
HDAIYUN,1,0.0,0.0,0.0,0.0,100.0
HEEP,1,0.0,0.0,0.0,0.0,100.0
HENO,1,0.0,0.0,0.0,0.0,100.0
HESSE,1,0.0,0.0,0.0,0.0,100.0
HHONDA,1,0.0,0.0,0.0,0.0,100.0
HHYUNDIA,1,0.0,0.0,0.0,0.0,100.0
HIN0,1,0.0,0.0,0.0,0.0,100.0
HIRSCHBACH,1,0.0,0.0,0.0,0.0,100.0
HIUNDAI,1,0.0,0.0,0.0,0.0,100.0
HIUNDAY,1,0.0,0.0,100.0,0.0,0.0
HMDE,1,0.0,0.0,0.0,0.0,100.0
HNO,1,0.0,0.0,0.0,0.0,100.0
HO,1,0.0,0.0,0.0,0.0,100.0
HOINDA,1,0.0,0.0,0.0,0.0,100.0
HOL-MAC,1,0.0,0.0,0.0,0.0,100.0
HOMD,1,0.0,0.0,0.0,0.0,100.0
HON DA,1,0.0,0.0,0.0,0.0,100.0
HONAD,1,0.0,0.0,0.0,0.0,100.0
HONADA,1,0.0,0.0,0.0,0.0,100.0
HONDA OR TOYOTA,1,0.0,0.0,0.0,0.0,100.0
HONDA952,1,0.0,0.0,0.0,0.0,100.0
HONDAA,1,0.0,0.0,0.0,0.0,100.0
HONDAI,1,0.0,0.0,0.0,0.0,100.0
HONDAP,1,0.0,0.0,0.0,0.0,100.0
HONDAQ,1,0.0,0.0,0.0,0.0,100.0
HONDAT,1,0.0,0.0,0.0,0.0,100.0
HONDD,1,0.0,0.0,0.0,0.0,100.0
HONDM,1,0.0,0.0,0.0,0.0,100.0
HONDQ,1,0.0,0.0,0.0,0.0,100.0
HONDRA,1,0.0,0.0,0.0,100.0,0.0
HONDVA,1,0.0,0.0,0.0,0.0,100.0
HONDVAL1992,1,0.0,0.0,0.0,0.0,100.0
HONDVAL2000,1,0.0,0.0,0.0,0.0,100.0
HONDVAL2005,1,0.0,0.0,0.0,0.0,100.0
HONDVAL2006,1,0.0,0.0,0.0,0.0,100.0
HONNDA,1,0.0,0.0,0.0,0.0,100.0
HORTON EMERGENCY,1,0.0,0.0,0.0,0.0,100.0
HOVERBOARD,1,0.0,0.0,0.0,100.0,0.0
HPNDA,1,0.0,0.0,0.0,0.0,100.0
HRTN,1,0.0,0.0,0.0,0.0,100.0
HT,1,0.0,0.0,0.0,0.0,100.0
HUND,1,0.0,0.0,0.0,0.0,100.0
HUNDA,1,0.0,0.0,0.0,0.0,100.0
HUNDI,1,0.0,0.0,0.0,100.0,0.0
HUNYDAI,1,0.0,0.0,0.0,0.0,100.0
HUSQ,1,0.0,0.0,0.0,0.0,100.0
HUYNDIA,1,0.0,0.0,0.0,0.0,100.0
HUZH,1,0.0,0.0,0.0,100.0,0.0
HY8UNDAI,1,0.0,0.0,0.0,100.0,0.0
HYANDI,1,0.0,0.0,0.0,0.0,100.0
HYBRID NEW FLYER,1,0.0,0.0,0.0,0.0,100.0
HYBRID TRANSIT,1,0.0,0.0,0.0,0.0,100.0
HYD,1,0.0,0.0,0.0,0.0,100.0
HYINDAI,1,0.0,0.0,0.0,0.0,100.0
HYNDI,1,0.0,0.0,0.0,0.0,100.0
HYNDUAI,1,0.0,0.0,0.0,0.0,100.0
HYOSUN,1,0.0,0.0,0.0,0.0,100.0
HYTR,1,0.0,0.0,0.0,0.0,100.0
HYTR BTM,1,0.0,0.0,0.0,0.0,100.0
HYUD,1,0.0,0.0,0.0,0.0,100.0
HYUN/HON,1,0.0,0.0,0.0,0.0,100.0
HYUNADI,1,0.0,0.0,0.0,0.0,100.0
HYUNDY,1,0.0,0.0,0.0,0.0,100.0
HYUNDYA,1,0.0,0.0,0.0,0.0,100.0
HYUNUDAI,1,0.0,0.0,0.0,0.0,100.0
HYUNUNDAI,1,0.0,0.0,0.0,0.0,100.0
HYUNVAL1999,1,0.0,0.0,0.0,0.0,100.0
HYUNVAL2008,1,0.0,0.0,100.0,0.0,0.0
HYUUD,1,0.0,0.0,0.0,0.0,100.0
HYUUNDAI,1,0.0,0.0,0.0,0.0,100.0
IC BU,1,0.0,0.0,0.0,0.0,100.0
IC CORPORA,1,0.0,0.0,0.0,0.0,100.0
ICBUS,1,0.0,0.0,0.0,0.0,100.0
ICC,1,0.0,0.0,0.0,0.0,100.0
ICRB,1,0.0,0.0,0.0,0.0,100.0
IHON,1,0.0,0.0,0.0,0.0,100.0
INDIAN,1,0.0,0.0,0.0,0.0,100.0
INEOS,1,0.0,0.0,0.0,0.0,100.0
INER,1,0.0,0.0,0.0,0.0,100.0
INFIINITY,1,0.0,0.0,0.0,100.0,0.0
INFINITIG,1,0.0,0.0,0.0,0.0,100.0
INFINITIY,1,0.0,0.0,0.0,0.0,100.0
INFINITU,1,0.0,0.0,0.0,0.0,100.0
INFITY,1,0.0,0.0,0.0,0.0,100.0
INFIVAL2014,1,0.0,0.0,0.0,0.0,100.0
INIF,1,0.0,0.0,0.0,0.0,100.0
ININITY,1,0.0,0.0,0.0,0.0,100.0
INTECH TRAILERS,1,0.0,0.0,0.0,0.0,100.0
INTERCHANGEABLE,1,0.0,0.0,0.0,0.0,100.0
INTERCONTENTAL,1,0.0,0.0,0.0,0.0,100.0
INTERNAIONAL,1,0.0,0.0,0.0,0.0,100.0
INTERNAT'L,1,0.0,0.0,0.0,0.0,100.0
INTERNATINOAL,1,0.0,0.0,0.0,0.0,100.0
INTERNATIOAL,1,0.0,0.0,0.0,0.0,100.0
INTERNATIONAL / HV,1,0.0,0.0,0.0,0.0,100.0
INTERNATIONAL HRVST,1,0.0,0.0,0.0,0.0,100.0
INTERNATIONALTK,1,0.0,0.0,0.0,0.0,100.0
INTL TRUCK,1,0.0,0.0,0.0,0.0,100.0
INTN,1,0.0,0.0,0.0,0.0,100.0
INTR,1,0.0,0.0,0.0,0.0,100.0
INTW,1,0.0,0.0,0.0,0.0,100.0
ION,1,0.0,0.0,0.0,0.0,100.0
IR,1,0.0,0.0,0.0,100.0,0.0
ISLANDER,1,0.0,100.0,0.0,0.0,0.0
ISUKU,1,0.0,0.0,0.0,0.0,100.0
ISUZI,1,0.0,0.0,0.0,0.0,100.0
ISUZIU,1,0.0,0.0,0.0,0.0,100.0
IZSU,1,0.0,0.0,0.0,0.0,100.0
JAGAUR,1,0.0,0.0,0.0,0.0,100.0
JAGUARS,1,0.0,0.0,0.0,0.0,100.0
JAJUAR,1,0.0,0.0,0.0,0.0,100.0
JCB,1,0.0,0.0,0.0,0.0,100.0
JEDEP,1,0.0,0.0,0.0,0.0,100.0
JEEB,1,0.0,0.0,0.0,0.0,100.0
JEEEP,1,0.0,0.0,100.0,0.0,0.0
JEEF,1,0.0,0.0,0.0,0.0,100.0
JEEO,1,0.0,0.0,0.0,0.0,100.0
JEEPGN,1,0.0,0.0,0.0,0.0,100.0
JEEPVAL2013,1,0.0,0.0,0.0,0.0,100.0
JEP,1,0.0,0.0,0.0,0.0,100.0
JEPP,1,0.0,0.0,0.0,0.0,100.0
JF2SKAJC7LH602192,1,0.0,0.0,0.0,0.0,100.0
JH4CU4F63AC002568,1,0.0,0.0,0.0,100.0,0.0
JIA,1,0.0,0.0,0.0,0.0,100.0
JLG,1,0.0,0.0,0.0,0.0,100.0
JMST,1,0.0,0.0,0.0,0.0,100.0
JN1DA31A33T420705,1,0.0,0.0,0.0,0.0,100.0
JN8AZ2NE1H9159504,1,0.0,0.0,0.0,0.0,100.0
JOHN,1,0.0,0.0,0.0,0.0,100.0
JOHN TREE,1,0.0,0.0,0.0,0.0,100.0
JONDA,1,0.0,0.0,0.0,0.0,100.0
JONWAY,1,0.0,0.0,0.0,100.0,0.0
JTDEPRAEXLJ110150,1,0.0,0.0,0.0,0.0,100.0
JTMP1RFVXKJ007506,1,0.0,0.0,0.0,0.0,100.0
JUICE,1,0.0,0.0,100.0,0.0,0.0
JWWP,1,0.0,0.0,0.0,0.0,100.0
K.W.,1,0.0,0.0,0.0,0.0,100.0
KABOTA,1,0.0,0.0,0.0,0.0,100.0
KABUTO,1,0.0,0.0,0.0,0.0,100.0
KAWALSKI,1,0.0,0.0,0.0,100.0,0.0
KAWAZAKI,1,0.0,0.0,0.0,100.0,0.0
KAWKISKI,1,0.0,100.0,0.0,0.0,0.0
KAYO,1,0.0,0.0,0.0,100.0,0.0
KEMPF,1,0.0,0.0,0.0,0.0,100.0
KEMWORTH,1,0.0,0.0,0.0,0.0,100.0
KENDALL TRAILER MFG.,1,0.0,0.0,0.0,0.0,100.0
KENEWORTH,1,0.0,0.0,0.0,0.0,100.0
KENILWOTH,1,0.0,0.0,0.0,0.0,100.0
KENNELWORTH,1,0.0,0.0,0.0,0.0,100.0
KENNILWORTH,1,0.0,0.0,0.0,0.0,100.0
KENNWORTH,1,0.0,0.0,0.0,0.0,100.0
KENOWORTH,1,0.0,0.0,0.0,0.0,100.0
KENWTH,1,0.0,0.0,0.0,0.0,100.0
KID,1,0.0,0.0,0.0,0.0,100.0
KIS,1,0.0,0.0,0.0,0.0,100.0
KISA,1,0.0,0.0,100.0,0.0,0.0
KL79MNSL8MB011853,1,0.0,0.0,0.0,0.0,100.0
KMHD74LF1HU336535,1,0.0,0.0,0.0,0.0,100.0
KMHDN46D55U073638,1,0.0,0.0,0.0,100.0,0.0
KNDJT2A24A7191762,1,0.0,0.0,0.0,0.0,100.0
KNEW,1,0.0,0.0,0.0,0.0,100.0
KNMAT2MV0GP713379,1,0.0,0.0,0.0,0.0,100.0
KTM AG,1,0.0,0.0,100.0,0.0,0.0
KTM ALUMINUM FRAME,1,0.0,100.0,0.0,0.0,0.0
KWAK,1,0.0,0.0,0.0,100.0,0.0
KWNW,1,0.0,0.0,0.0,0.0,100.0
LAMBOURGHINI,1,0.0,0.0,0.0,0.0,100.0
LAMO,1,0.0,0.0,0.0,0.0,100.0
LAND  ROVER,1,0.0,0.0,0.0,100.0,0.0
LANDCRUISER,1,0.0,0.0,0.0,0.0,100.0
LANDR,1,0.0,0.0,0.0,0.0,100.0
LASER-Z,1,0.0,0.0,0.0,0.0,100.0
LEAF,1,0.0,0.0,0.0,0.0,100.0
LECUS,1,0.0,0.0,100.0,0.0,0.0
LEIKE,1,0.0,0.0,0.0,0.0,100.0
LESUX,1,0.0,0.0,0.0,0.0,100.0
LEXES,1,0.0,0.0,0.0,0.0,100.0
LEXI,1,0.0,0.0,0.0,0.0,100.0
LEXUA,1,0.0,0.0,0.0,0.0,100.0
LEXUSS,1,0.0,0.0,0.0,0.0,100.0
LEXUSZ,1,0.0,0.0,0.0,0.0,100.0
LEXUUS,1,0.0,0.0,0.0,100.0,0.0
LEXUVAL2012,1,0.0,0.0,0.0,0.0,100.0
LEXUW,1,0.0,0.0,0.0,100.0,0.0
LEXUX,1,0.0,0.0,0.0,0.0,100.0
LEZUS,1,0.0,0.0,0.0,0.0,100.0
LIINCOLN,1,0.0,0.0,0.0,0.0,100.0
LIME BIKE,1,0.0,0.0,0.0,100.0,0.0
LINCCOLN,1,0.0,0.0,0.0,0.0,100.0
LINCILN,1,0.0,0.0,0.0,0.0,100.0
LINCLN,1,0.0,0.0,0.0,0.0,100.0
LINCOLDN,1,0.0,0.0,0.0,0.0,100.0
LINCOLON,1,0.0,0.0,0.0,0.0,100.0
LINCVAL2001,1,0.0,0.0,0.0,0.0,100.0
LINK BELT,1,0.0,0.0,0.0,0.0,100.0
LINOLM,1,0.0,0.0,0.0,100.0,0.0
LIT SCOOTERS,1,0.0,0.0,100.0,0.0,0.0
LLOYDS,1,0.0,0.0,0.0,0.0,100.0
LLR,1,0.0,0.0,100.0,0.0,0.0
LND,1,0.0,0.0,0.0,0.0,100.0
LNDROVER,1,0.0,0.0,0.0,0.0,100.0
LNDRVR,1,0.0,0.0,0.0,0.0,100.0
LODAL,1,0.0,0.0,0.0,0.0,100.0
LONG,1,0.0,0.0,0.0,0.0,100.0
LONG LIFE,1,0.0,0.0,0.0,0.0,100.0
LOTUS,1,0.0,0.0,0.0,100.0,0.0
LRLEZE,1,0.0,0.0,0.0,0.0,100.0
M BENZ,1,0.0,0.0,100.0,0.0,0.0
MACH,1,0.0,0.0,0.0,0.0,100.0
MACJ,1,0.0,0.0,0.0,0.0,100.0
MACK 600,1,0.0,0.0,0.0,0.0,100.0
MACK TK,1,0.0,0.0,0.0,0.0,100.0
MACK TRUCKS INC,1,0.0,0.0,0.0,0.0,100.0
MACL,1,0.0,0.0,0.0,0.0,100.0
